,frequency,relative frequency,cumulative frequency
0,94.0,0.3092105263157895,0.3092105263157895
1,126.0,0.4144736842105263,0.7236842105263158
2,73.0,0.24013157894736842,0.9638157894736843
3,11.0,0.03618421052631579,1.0
